batch,eligible,engine,score_us,gbps_assumed,gbps_eligible_only,clk_end
1,100,gpu-mask,21.088,7283.763277693475,7.283763277693475,2745.0
1,100,gpu-predicate,22.688,6770.098730606488,6.770098730606488,2745.0
1,100,gpu-rows,5.6,27.428571428571427,27.428571428571427,1395.0
1,1000,gpu-mask,22.24,6906.474820143885,69.06474820143885,2745.0
1,1000,gpu-predicate,23.744,6469.00269541779,64.6900269541779,2745.0
1,1000,gpu-rows,9.152,167.83216783216784,167.83216783216784,780.0
1,3000,gpu-mask,24.672,6225.68093385214,186.7704280155642,2745.0
1,3000,gpu-predicate,26.112,5882.35294117647,176.47058823529412,2745.0
1,3000,gpu-rows,12.448,370.17994858611826,370.17994858611826,735.0
1,10000,gpu-mask,32.0,4800.0,480.0,2745.0
1,10000,gpu-predicate,33.184,4628.736740597878,462.87367405978785,2745.0
1,10000,gpu-rows,29.088,528.0528052805281,528.0528052805281,615.0
1,30000,gpu-mask,81.152,1892.7444794952683,567.8233438485804,1470.0
1,30000,gpu-predicate,108.512,1415.511648481274,424.65349454438217,1260.0
1,30000,gpu-rows,106.112,434.2581423401689,434.2581423401689,615.0
1,100000,gpu-mask,166.72,921.3051823416507,921.3051823416507,2775.0
1,100000,gpu-predicate,167.68,916.0305343511451,916.0305343511451,2775.0
1,100000,gpu-rows,166.72,921.3051823416507,921.3051823416507,2775.0
16,100,gpu-mask,258.048,595.2380952380952,0.5952380952380952,2775.0
16,100,gpu-predicate,283.36,542.0666290231508,0.5420666290231507,2775.0
16,100,gpu-rows,6.048,25.396825396825395,25.396825396825395,2520.0
16,1000,gpu-mask,274.72,559.1147350029121,5.591147350029121,2775.0
16,1000,gpu-predicate,298.752,514.1388174807198,5.141388174807198,2775.0
16,1000,gpu-rows,13.504,113.74407582938389,113.74407582938389,1155.0
16,3000,gpu-mask,313.184,490.4465106774292,14.713395320322878,2775.0
16,3000,gpu-predicate,335.392,457.97156759851157,13.739147027955347,2775.0
16,3000,gpu-rows,147.2,31.304347826086957,31.304347826086957,375.0
16,10000,gpu-mask,428.448,358.5032489356935,35.85032489356935,2775.0
16,10000,gpu-predicate,447.648,343.12674244048895,34.31267424404889,2775.0
16,10000,gpu-rows,371.264,41.37217721082572,41.37217721082572,420.0
16,30000,gpu-mask,934.576,165.6967972146054,49.709039164381615,1800.0
16,30000,gpu-predicate,1094.416,140.35793314679066,42.10737994403719,1695.0
16,30000,gpu-rows,929.712,49.70401977742168,49.70401977742168,630.0
