eligible,mode,runs,samples,median_run_p50_ms,median_run_p95_ms,median_run_p99_ms,recall_at_10
1000,legacy-two-pass,5,25000,0.120365,0.131736,0.158396,1.0
1000,one-pass,5,25000,0.109695,0.11787,0.145292,1.0
1000,cached,5,25000,0.090789,0.099747,0.113172,1.0
4000,legacy-two-pass,5,25000,0.290994,0.305281,0.325118,1.0
4000,one-pass,5,25000,0.198161,0.208009,0.22497,1.0
4000,cached,5,25000,0.134842,0.143778,0.158156,1.0
6000,legacy-two-pass,5,25000,0.38511,0.40113,0.440043,1.0
6000,one-pass,5,25000,0.256079,0.271618,0.290302,1.0
6000,cached,5,25000,0.162404,0.17133,0.194143,1.0
100000,legacy-two-pass,5,25000,1.663349,1.78617,1.903128,0.9999800000000001
100000,one-pass,5,25000,1.607435,1.720476,1.816527,0.9999800000000001
100000,cached,5,25000,1.537885,1.596024,1.690691,0.9999800000000001
