cell,batches_per_run,automatic_backend,cpu_p50_us,gpu_p50_us,cpu_over_gpu_p50,cpu_over_gpu_p50_ci_lo,cpu_over_gpu_p50_ci_hi,p_gpu_faster_p50,aa_auto_over_same_p50,aa_p50_ci_lo,aa_p50_ci_hi,cpu_p95_us,gpu_p95_us,cpu_over_gpu_p95,cpu_over_gpu_p95_ci_lo,cpu_over_gpu_p95_ci_hi,p_gpu_faster_p95,aa_auto_over_same_p95,aa_p95_ci_lo,aa_p95_ci_hi,max_run_spread_p95,winner_p95,winner_p50,p95_winner_decisive
all-r1000-d128-b8-k10,80,wgpu,127.8,270.9,0.4717607973421927,0.4614266534024008,0.510155105987156,0.0,1.0025839793281655,0.9776723381463777,1.0155561325420375,174.2,460.8,0.3780381944444444,0.2975103734439834,0.5056019070321812,0.0,0.8888888888888888,0.8175579664727417,1.1291466193973159,1.5720369056068133,cpu,cpu,True
d128-b8-e1221-k10,80,wgpu,374.0,757.2,0.49392498679344954,0.40883203951588964,0.7896045790526629,0.0,1.637216059165346,1.1249725696730306,2.587192660632089,468.7,1573.2,0.29792779049071955,0.24494863980133197,0.561114896976641,0.0,1.1979405034324944,0.7946601389047022,2.3922945934440185,2.0700088339222615,cpu,cpu,True
d128-b8-e1465-k1,80,wgpu,632.9,392.8,1.6112525458248472,1.0808207610898446,2.2741639520761834,0.98275,2.401476578411405,1.7854810964109302,3.9368223432150384,1368.7,628.8,2.1766857506361323,0.9337636973132648,4.625320271288621,0.94675,2.3939249363867683,1.5455020505592616,6.332728238974122,4.879790109715376,gpu,gpu,False
d128-b8-e488-k1,80,cpu,107.6,243.0,0.44279835390946504,0.4316,0.45134575569358176,0.0,0.5734200743494424,0.5626701350802612,0.580765639589169,123.0,406.0,0.30295566502463056,0.26228491333732207,0.41502463054187194,0.0,0.7268292682926829,0.5369157331442904,0.8310204081632653,1.4780739466895958,cpu,cpu,True
d128-b8-e733-k10,80,cpu,202.7,285.4,0.7102312543798178,0.6945205479452055,0.7282763532763533,0.0,0.648741983226443,0.6309348996573666,0.694339148336738,270.2,428.0,0.6313084112149533,0.5373113329456614,0.745792736935341,0.0,0.8205033308660251,0.6657929096935888,1.036285602809208,1.3850457782299084,cpu,cpu,True
d128-b8-e977-k64,80,wgpu,408.8,488.8,0.8363338788870703,0.8032136480856973,0.871902561948761,0.0,3.0008183306055645,2.6217316968552082,3.6598868084281695,505.1,715.3,0.7061372850552216,0.6069419673480587,0.9155084015873264,0.001,2.3225220187333986,1.9431187927253966,3.610601178865565,1.7095388333221453,cpu,cpu,True
d384-b1-e1302-k1,640,cpu,96.8,443.1,0.2184608440532611,0.11754536822789038,0.27402671378634547,0.0,1.552685950413223,0.9917523645377848,3.268213290610198,236.7,1419.7,0.16672536451362965,0.0747037486375492,0.3154015462619692,0.0,1.8610054921841994,0.9934754240974336,4.597011838673605,4.6849119466920515,cpu,cpu,True
d384-b1-e1953-k10,640,cpu,214.1,637.3,0.3359485328730582,0.21230732944877453,1.1602711849617198,0.103,2.3358243811303128,0.35134543344558694,3.5057765442204714,951.0,1240.4,0.7666881651080296,0.2697388569199876,1.3476900614543332,0.21625,1.302944269190326,0.3951162313008875,3.9887012609014922,5.795437452995738,cpu,cpu,False
d384-b1-e2604-k64,640,cpu,708.4,1057.2,0.6700718880060538,0.26276679508558065,0.8745644599303136,0.0,1.1147656691134953,0.4465371273009874,2.796164023305961,1547.3,2299.9,0.6727683812339667,0.25992322942590795,0.8922004690772195,0.001,1.1498093453111873,0.45765468706754336,2.8354770624512344,3.3688430698739977,cpu,cpu,True
d384-b1-e3255-k10,640,wgpu,861.9,921.4,0.9354243542435424,0.3348689702475068,1.810748245593355,0.3115,1.1269806815715215,0.7744085839393342,2.2042414259676626,1806.0,2188.1,0.8253736118093323,0.47028939490156946,2.541716826569841,0.24675,0.9337324619532928,0.5854749226444524,2.924441813596399,3.299068100358423,cpu,cpu,False
d384-b1-e3906-k1,640,wgpu,754.5,666.8,1.1315236952609478,0.6284097824626852,1.9014516978700506,0.71825,1.2607978404319136,0.6368496370638322,1.9214002643974537,1936.5,1953.1,0.9915006912088474,0.6962727361583898,1.3946965871675951,0.39825,0.9148021094670011,0.4416243463302161,1.391038251402706,2.576338400528751,cpu,gpu,False
