experiment,batch,eligible,fraction,block,engine,n_repetitions,p50_ns,p95_ns,p50_spread_ratio,p95_spread_ratio,p50_min_ns,p50_max_ns,p95_min_ns,p95_max_ns,evaluation_recall_at_10,tuning_recall_at_10,filter_violations,process_returncode,started_unix,path
e0,1,3000,0.03,0,cpu,3,366960,381400,1.002290013903656,1.0333324570857758,366810,367650,380410,393090,1,1,0,0,1790245424.4434035,e0/b1-e3000/block-00/cpu/summary.txt
e0,1,3000,0.03,0,gpu-rows,3,708299,786289,1.0155930716327513,1.1048490283205739,706660,717679,747160,825499,1,1,0,0,1790245469.6968513,e0/b1-e3000/block-00/gpu-rows/summary.txt
e0,1,3000,0.03,1,cpu,3,361199,380010,1.0061388394842152,1.0227242275638448,359840,362049,373170,381650,1,1,0,0,1790245572.863624,e0/b1-e3000/block-01/cpu/summary.txt
e0,1,3000,0.03,1,gpu-rows,3,709089,766229,1.011448660933329,1.0299321957845042,703139,711189,744349,766629,1,1,0,0,1790245521.2280772,e0/b1-e3000/block-01/gpu-rows/summary.txt
e0,1,3000,0.03,2,cpu,3,366860,380270,1.0091680369019642,1.017698881620595,365509,368860,379120,385830,1,1,0,0,1790245669.433567,e0/b1-e3000/block-02/cpu/summary.txt
e0,1,3000,0.03,2,gpu-rows,3,701120,744410,1.044401572195747,1.0675511417648202,694570,725410,724799,773760,1,1,0,0,1790245617.9561481,e0/b1-e3000/block-02/gpu-rows/summary.txt
e0,1,3000,0.03,3,cpu,3,374620,390850,1.012402842161054,1.019731370858165,371689,376299,390799,398510,1,1,0,0,1790245766.276156,e0/b1-e3000/block-03/cpu/summary.txt
e0,1,3000,0.03,3,gpu-rows,3,702730,829099,1.0877461453639663,1.1774492681304058,682879,742799,721440,849459,1,1,0,0,1790245714.681383,e0/b1-e3000/block-03/gpu-rows/summary.txt
e0,1,3000,0.03,4,cpu,3,385729,401720,1.006915298636431,1.1843158450438673,384799,387460,397790,471109,1,1,0,0,1790245862.737025,e0/b1-e3000/block-04/cpu/summary.txt
e0,1,3000,0.03,4,gpu-rows,3,681019,719129,1.1428227950818506,1.161624866712435,632189,722480,684610,795260,1,1,0,0,1790245811.616727,e0/b1-e3000/block-04/gpu-rows/summary.txt
e0,1,3000,0.03,5,cpu,3,391499,409839,1.0169412628753338,1.0118781618106358,386689,393240,405029,409840,1,1,0,0,1790245908.5392225,e0/b1-e3000/block-05/cpu/summary.txt
e0,1,3000,0.03,5,gpu-rows,3,431940,505519,1.208290767337533,1.190072853975293,382739,462460,473550,563559,1,1,0,0,1790245954.1703713,e0/b1-e3000/block-05/gpu-rows/summary.txt
e0,1,3000,0.03,6,cpu,3,385840,756329,1.045427435387674,1.2931478170588224,372220,389129,585609,757279,1,1,0,0,1790246001.1104455,e0/b1-e3000/block-06/cpu/summary.txt
