experiment,batch,eligible,fraction,engine,completed,expected,present_blocks,missing_blocks
e0,1,3000,0.03,cpu,10,10,"0,1,2,3,4,5,6,7,8,9",
e0,1,3000,0.03,gpu-rows,10,10,"0,1,2,3,4,5,6,7,8,9",
e2,1,100,0.001,cpu,5,5,"0,1,2,3,4",
e2,1,100,0.001,gpu-rows,5,5,"0,1,2,3,4",
e2,1,100,0.001,gpu-predicate,5,5,"0,1,2,3,4",
e2,1,100,0.001,gpu-mask,5,5,"0,1,2,3,4",
e2,1,1000,0.01,cpu,5,5,"0,1,2,3,4",
e2,1,1000,0.01,gpu-rows,5,5,"0,1,2,3,4",
e2,1,1000,0.01,gpu-predicate,5,5,"0,1,2,3,4",
e2,1,1000,0.01,gpu-mask,5,5,"0,1,2,3,4",
e2,1,3000,0.03,cpu,5,5,"0,1,2,3,4",
e2,1,3000,0.03,gpu-rows,5,5,"0,1,2,3,4",
e2,1,3000,0.03,gpu-predicate,5,5,"0,1,2,3,4",
e2,1,3000,0.03,gpu-mask,5,5,"0,1,2,3,4",
e2,1,10000,0.1,cpu,5,5,"0,1,2,3,4",
e2,1,10000,0.1,gpu-rows,5,5,"0,1,2,3,4",
e2,1,10000,0.1,gpu-predicate,5,5,"0,1,2,3,4",
e2,1,10000,0.1,gpu-mask,5,5,"0,1,2,3,4",
e2,1,30000,0.3,cpu,5,5,"0,1,2,3,4",
e2,1,30000,0.3,gpu-rows,5,5,"0,1,2,3,4",
e2,1,30000,0.3,gpu-predicate,5,5,"0,1,2,3,4",
e2,1,30000,0.3,gpu-mask,5,5,"0,1,2,3,4",
e2,1,100000,1.0,cpu,5,5,"0,1,2,3,4",
e2,1,100000,1.0,gpu-rows,5,5,"0,1,2,3,4",
e2,1,100000,1.0,gpu-predicate,5,5,"0,1,2,3,4",
e2,1,100000,1.0,gpu-mask,5,5,"0,1,2,3,4",
e2,16,100,0.001,cpu,5,5,"0,1,2,3,4",
e2,16,100,0.001,gpu-rows,5,5,"0,1,2,3,4",
e2,16,100,0.001,gpu-predicate,5,5,"0,1,2,3,4",
e2,16,100,0.001,gpu-mask,5,5,"0,1,2,3,4",
e2,16,1000,0.01,cpu,5,5,"0,1,2,3,4",
e2,16,1000,0.01,gpu-rows,5,5,"0,1,2,3,4",
e2,16,1000,0.01,gpu-predicate,5,5,"0,1,2,3,4",
e2,16,1000,0.01,gpu-mask,5,5,"0,1,2,3,4",
e2,16,3000,0.03,cpu,5,5,"0,1,2,3,4",
e2,16,3000,0.03,gpu-rows,5,5,"0,1,2,3,4",
e2,16,3000,0.03,gpu-predicate,5,5,"0,1,2,3,4",
e2,16,3000,0.03,gpu-mask,5,5,"0,1,2,3,4",
e2,16,10000,0.1,cpu,5,5,"0,1,2,3,4",
e2,16,10000,0.1,gpu-rows,5,5,"0,1,2,3,4",
e2,16,10000,0.1,gpu-predicate,5,5,"0,1,2,3,4",
e2,16,10000,0.1,gpu-mask,5,5,"0,1,2,3,4",
e2,16,30000,0.3,cpu,1,5,0,"1,2,3,4"
e2,16,30000,0.3,gpu-rows,2,5,"0,1","2,3,4"
e2,16,30000,0.3,gpu-predicate,2,5,"0,1","2,3,4"
e2,16,30000,0.3,gpu-mask,2,5,"0,1","2,3,4"
e2,16,100000,1.0,cpu,0,5,,"0,1,2,3,4"
e2,16,100000,1.0,gpu-rows,0,5,,"0,1,2,3,4"
e2,16,100000,1.0,gpu-predicate,0,5,,"0,1,2,3,4"
e2,16,100000,1.0,gpu-mask,0,5,,"0,1,2,3,4"
