experiment,batch,eligible,fraction,engine,metric,n_blocks,n_repetitions_per_block,median_ns,ci95_low_ns,ci95_high_ns,min_ns,max_ns,median_within_block_max_min_ratio,max_within_block_max_min_ratio
e0,1,3000,0.03,cpu,p50_ns,10,3,368685.0,360175.0,385729.0,347419,391499,1.0107854395315092,1.1012964563526362
e0,1,3000,0.03,cpu,p95_ns,10,3,381790.0,375284.5,401720.0,367580,756329,1.029347150886961,1.5497393429269617
e0,1,3000,0.03,gpu-rows,p50_ns,10,3,701925.0,557435.0,714029.5,366140,725200,1.0513569147624264,1.208290767337533
e0,1,3000,0.03,gpu-rows,p95_ns,10,3,750069.5,624964.5,776214.0,423769,829099,1.1165033018215307,1.3123304161956828
e2,1,100,0.001,cpu,p50_ns,5,3,17080.0,16580.0,17840.0,16580,17840,1.0050476724621424,1.0146886016451233
e2,1,100,0.001,cpu,p95_ns,5,3,19580.0,18440.0,19880.0,18440,19880,1.0097703207325184,1.2060197197716658
e2,1,100,0.001,gpu-mask,p50_ns,5,3,1021489.0,984559.0,1031269.0,984559,1031269,1.0179505575133296,1.0874564318629554
e2,1,100,0.001,gpu-mask,p95_ns,5,3,1053139.0,1036348.0,1073659.0,1036348,1073659,1.0136836369577187,1.0265547468767016
e2,1,100,0.001,gpu-predicate,p50_ns,5,3,998449.0,970759.0,1007308.0,970759,1007308,1.0107986257200912,1.0752655590141738
e2,1,100,0.001,gpu-predicate,p95_ns,5,3,1053538.0,1042208.0,1085499.0,1042208,1085499,1.0455765295400024,1.1070607556518393
e2,1,100,0.001,gpu-rows,p50_ns,5,3,184820.0,181989.0,185940.0,181989,185940,1.105806680042488,1.1482530689329555
e2,1,100,0.001,gpu-rows,p95_ns,5,3,209569.0,202460.0,211410.0,202460,211410,1.1447966540369003,1.3174021479106224
e2,1,1000,0.01,cpu,p50_ns,5,3,110910.0,109550.0,114850.0,109550,114850,1.006534066125796,1.0515265425873292
e2,1,1000,0.01,cpu,p95_ns,5,3,120070.0,115740.0,160479.0,115740,160479,1.0114719019762588,1.111722998554416
e2,1,1000,0.01,gpu-mask,p50_ns,5,3,1056196.0,1051317.0,1065628.0,1051317,1065628,1.0437359112063083,1.0855249176231778
e2,1,1000,0.01,gpu-mask,p95_ns,5,3,1115599.0,1094346.0,1227888.0,1094346,1227888,1.032495091598884,1.265589519013477
e2,1,1000,0.01,gpu-predicate,p50_ns,5,3,1049389.0,1033946.0,1062879.0,1033946,1062879,1.0230735587093989,1.0658670486598485
e2,1,1000,0.01,gpu-predicate,p95_ns,5,3,1108928.0,1067447.0,1134009.0,1067447,1134009,1.0200058142746782,1.0769481217156884
e2,1,1000,0.01,gpu-rows,p50_ns,5,3,288329.0,285010.0,349609.0,285010,349609,1.3343135295629087,1.456291928838875
e2,1,1000,0.01,gpu-rows,p95_ns,5,3,347168.0,326579.0,375739.0,326579,375739,1.3326493297606468,1.3818598172926215
e2,1,3000,0.03,cpu,p50_ns,5,3,363560.0,345769.0,418550.0,345769,418550,1.049040200711827,1.207850066575666
e2,1,3000,0.03,cpu,p95_ns,5,3,466379.0,374869.0,614609.0,374869,614609,1.183768296191254,1.601365839330298
e2,1,3000,0.03,gpu-mask,p50_ns,5,3,1213677.0,1046339.0,1224478.0,1046339,1224478,1.024665772479889,1.0329511201799804
e2,1,3000,0.03,gpu-mask,p95_ns,5,3,1264438.0,1194799.0,1335188.0,1194799,1335188,1.043870350996233,1.1205168174689155
e2,1,3000,0.03,gpu-predicate,p50_ns,5,3,1125878.0,1078828.0,1193578.0,1078828,1193578,1.0868724723423713,1.1286266339467683
e2,1,3000,0.03,gpu-predicate,p95_ns,5,3,1263978.0,1186288.0,1312408.0,1186288,1312408,1.1000132338020714,1.2274966926752882
