batch,eligible,fraction,metric,left,right,n_paired_blocks,median_log_left_over_right,ci95_low_log,ci95_high_log,median_left_over_right,ci95_low_ratio,ci95_high_ratio,e0_conservative_log_band,left_advantage_exceeds_e0_band,right_advantage_exceeds_e0_band
1,100,0.001,p50_ns,gpu-rows,gpu-predicate,5,-1.6840110987779475,-1.7091527302779455,-1.6644476813700324,0.18562790888668323,0.18101909966400032,0.18929518036917506,0.6607423283170152,True,False
1,100,0.001,p95_ns,gpu-rows,gpu-predicate,5,-1.6180039240237585,-1.6776241072468956,-1.6040437777703738,0.19829411443083414,0.18681730706338745,0.20108174184040037,0.6881421068218078,True,False
1,100,0.001,p50_ns,gpu-rows,gpu-mask,5,-1.7068246695634222,-1.7249148033407478,-1.6667697841537215,0.1814410140490989,0.17818823216832855,0.18885612746417432,0.6607423283170152,True,False
1,100,0.001,p95_ns,gpu-rows,gpu-mask,5,-1.625028343991001,-1.659477943882791,-1.5946854637145673,0.19690609402054096,0.19023826923419693,0.2029723606356166,0.6881421068218078,True,False
1,100,0.001,p50_ns,gpu-predicate,gpu-mask,5,-0.014224651603189817,-0.06046712197071543,0.006337039406417264,0.9858760407501329,0.9413247174112671,1.0063571609217934,0.6607423283170152,False,False
1,100,0.001,p95_ns,gpu-predicate,gpu-mask,5,-0.003929319261799882,-0.018918417162263244,0.02331846030919109,0.9960783904119019,0.9812594129048422,1.0235924612195904,0.6881421068218078,False,False
1,100,0.001,p50_ns,gpu-rows,cpu,5,2.3842837877981213,2.3225031185379486,2.405433408673694,10.851288056206087,10.201177130044842,11.083232810615199,0.6607423283170152,False,True
1,100,0.001,p95_ns,gpu-rows,cpu,5,2.3669757024298614,2.3224567596081442,2.439277157878593,10.66508905852417,10.200704225352112,11.464750542299349,0.6881421068218078,False,True
1,100,0.001,p50_ns,gpu-predicate,cpu,5,4.068294886576069,4.031655848815894,4.083589625694193,58.45720140515224,56.354147982062756,59.358161461402474,0.6607423283170152,False,True
1,100,0.001,p95_ns,gpu-predicate,cpu,5,4.00008086685504,3.971019480200235,4.045387084707331,54.602565392354116,53.03857506361322,57.133297180043385,0.6881421068218078,False,True
1,100,0.001,p50_ns,gpu-mask,cpu,5,4.0911084573615435,4.029156103962005,4.130348212014442,59.806147540983595,56.21345291479819,62.19957780458385,0.6607423283170152,False,True
1,100,0.001,p95_ns,gpu-mask,cpu,5,3.981934703490935,3.968949636648733,4.064305501869594,53.620674044265584,52.928907048008185,58.22445770065076,0.6881421068218078,False,True
1,1000,0.01,p50_ns,gpu-rows,gpu-predicate,5,-1.28819232673874,-1.3162122757041173,-1.0991479818602687,0.27576883274384867,0.26814905553689555,0.3331548167552738,0.6607423283170152,True,False
1,1000,0.01,p95_ns,gpu-rows,gpu-predicate,5,-1.1561166658628095,-1.184353215525689,-1.1046196673433368,0.31470591926337743,0.3059439953459048,0.33133687651508936,0.6881421068218078,True,False
1,1000,0.01,p50_ns,gpu-rows,gpu-mask,5,-1.2983268638550387,-1.312851811621931,-1.1017841354043527,0.27298815750106986,0.26905167657006007,0.3322777260851259,0.6607423283170152,True,False
1,1000,0.01,p95_ns,gpu-rows,gpu-mask,5,-1.2018338356451757,-1.2520396299697043,-1.0882520059534986,0.30064237737185157,0.2859210286280182,0.33680471208740775,0.6881421068218078,True,False
1,1000,0.01,p50_ns,gpu-predicate,gpu-mask,5,-0.005363315446349936,-0.016661113573410023,0.005349793216471164,0.9946510414516135,0.9834769151454794,1.0053641289131372,0.6607423283170152,False,False
1,1000,0.01,p95_ns,gpu-predicate,gpu-mask,5,-0.024887108387363445,-0.09592296410689483,0.016367661389838077,0.9754200225522823,0.9085340031012601,1.0165023453767885,0.6881421068218078,False,False
1,1000,0.01,p50_ns,gpu-rows,cpu,5,0.9504055230980437,0.9204752601139932,1.1513565255752554,2.5867584369449377,2.510483239007401,3.162479986250441,0.6607423283170152,False,True
1,1000,0.01,p95_ns,gpu-rows,cpu,5,1.0380310439778386,0.7646274168381164,1.1591427671167671,2.8236518910126067,2.148193844677497,3.1871999321401305,0.6881421068218078,False,True
