experiment,batch,eligible,engine,n_blocks,cpu_distance_path,median_upload_bytes,median_eligibility_transfer_bytes,median_row_materialization_ns,median_device_scoring_ns,median_device_selection_ns,median_backend_execution_ns,median_batch_latency_ns
e0,1,3000,cpu,10,Fp32Avx2FmaCertified,0.0,0.0,,,,366025.0,369029.75
e0,1,3000,gpu-rows,10,not-applicable,13600.0,12000.0,182435.0,19712.0,235888.0,510434.25,707344.25
e2,1,100,cpu,5,Fp32Avx2FmaCertified,0.0,0.0,,,,14980.0,17110.0
e2,1,100,gpu-mask,5,not-applicable,401600.0,400000.0,7440.0,21088.0,704320.0,1008299.5,1024534.0
e2,1,100,gpu-predicate,5,not-applicable,401600.0,0.0,7450.0,22688.0,704352.0,980989.0,996149.0
e2,1,100,gpu-rows,5,not-applicable,2000.0,400.0,5470.0,5600.0,17888.0,174030.0,185310.0
e2,1,1000,cpu,5,Fp32Avx2FmaCertified,0.0,0.0,,,,109770.0,112470.0
e2,1,1000,gpu-mask,5,not-applicable,401600.0,400000.0,59980.0,22240.0,710816.0,989539.0,1059026.0
e2,1,1000,gpu-predicate,5,not-applicable,401600.0,0.0,58650.0,23744.0,710816.0,979513.5,1047478.5
e2,1,1000,gpu-rows,5,not-applicable,5600.0,4000.0,45470.0,9152.0,53376.0,233309.0,285525.0
e2,1,3000,cpu,5,Fp32Avx2FmaCertified,0.0,0.0,,,,361769.5,364730.0
e2,1,3000,gpu-mask,5,not-applicable,401600.0,400000.0,180249.5,24672.0,711136.0,1013169.0,1211303.0
e2,1,3000,gpu-predicate,5,not-applicable,401600.0,0.0,175209.0,26112.0,711168.0,974908.5,1159568.5
e2,1,3000,gpu-rows,5,not-applicable,13600.0,12000.0,140580.0,12448.0,133344.0,306479.0,444534.5
e2,1,10000,cpu,5,Avx2Fma,0.0,0.0,,,,4185129.0,4194219.0
e2,1,10000,gpu-mask,5,not-applicable,401600.0,400000.0,683919.0,32000.0,702656.0,1031279.0,1733143.0
e2,1,10000,gpu-predicate,5,not-applicable,401600.0,0.0,673694.0,33184.0,702624.0,993938.5,1687717.5
e2,1,10000,gpu-rows,5,not-applicable,41600.0,40000.0,663249.0,29088.0,439616.0,777149.0,1467323.0
e2,1,30000,cpu,5,Avx2Fma,0.0,0.0,,,,9756311.5,9765881.0
e2,1,30000,gpu-mask,5,not-applicable,401600.0,400000.0,1741783.0,81152.0,1162112.0,1613273.0,3341450.0
e2,1,30000,gpu-predicate,5,not-applicable,401600.0,0.0,2239882.0,108512.0,1376384.0,2072547.5,4346924.0
e2,1,30000,gpu-rows,5,not-applicable,121600.0,120000.0,2205982.0,106112.0,1182768.0,2082992.5,4333379.0
e2,1,100000,cpu,5,Avx2Fma,0.0,0.0,,,,11535488.5,11545378.0
e2,1,100000,gpu-mask,5,not-applicable,401600.0,400000.0,322749.0,166720.0,695616.0,1284538.5,1691262.0
e2,1,100000,gpu-predicate,5,not-applicable,401600.0,0.0,311234.5,167680.0,695520.0,1143833.5,1536918.0
e2,1,100000,gpu-rows,5,not-applicable,401600.0,400000.0,311750.0,166720.0,1044416.0,2134597.0,2549297.0
e2,16,100,cpu,5,Fp32Avx2FmaCertified,0.0,0.0,,,,16040.0,278470.0
e2,16,100,gpu-mask,5,not-applicable,6794240.0,400000.0,4790.0,258048.0,699424.0,1182069.0,1224070.0
e2,16,100,gpu-predicate,5,not-applicable,6794240.0,0.0,3580.0,283360.0,699392.0,1173050.0,1210969.0
e2,16,100,gpu-rows,5,not-applicable,400640.0,400.0,3540.0,6048.0,18048.0,161960.0,198560.0
e2,16,1000,cpu,5,Fp32Avx2FmaCertified,0.0,0.0,,,,107519.0,1751368.0
e2,16,1000,gpu-mask,5,not-applicable,6794240.0,400000.0,63640.0,274720.0,704576.0,1322729.0,1459108.0
e2,16,1000,gpu-predicate,5,not-applicable,6794240.0,0.0,63410.0,298752.0,704480.0,1320058.0,1450819.0
e2,16,1000,gpu-rows,5,not-applicable,458240.0,4000.0,28570.0,13504.0,27712.0,189380.0,252349.0
e2,16,3000,cpu,5,Fp32Avx2FmaCertified,0.0,0.0,,,,379560.0,5689625.0
e2,16,3000,gpu-mask,5,not-applicable,6794240.0,400000.0,186540.0,313184.0,705280.0,1357179.0,1622479.0
e2,16,3000,gpu-predicate,5,not-applicable,6794240.0,0.0,186360.0,335392.0,705312.0,1362628.0,1630588.0
e2,16,3000,gpu-rows,5,not-applicable,586240.0,12000.0,175560.0,147200.0,254912.0,714929.0,968229.0
e2,16,10000,cpu,5,Avx2Fma,0.0,0.0,,,,3890197.0,62339046.0
e2,16,10000,gpu-mask,5,not-applicable,6794240.0,400000.0,694949.0,428448.0,691168.0,1499129.0,2268858.0
e2,16,10000,gpu-predicate,5,not-applicable,6794240.0,0.0,697139.0,447648.0,691136.0,1486499.0,2262428.0
e2,16,10000,gpu-rows,5,not-applicable,1034240.0,40000.0,696679.0,371264.0,555200.0,1352689.0,2129099.0
e2,16,30000,cpu,1,Avx2Fma,0.0,0.0,,,,9647750.0,154511386.0
e2,16,30000,gpu-mask,2,not-applicable,6794240.0,400000.0,2285829.5,934576.0,951760.0,2560384.0,4963433.5
e2,16,30000,gpu-predicate,2,not-applicable,6794240.0,0.0,2262269.5,1094416.0,1090512.0,2806848.5,5165843.5
e2,16,30000,gpu-rows,2,not-applicable,2314240.0,120000.0,2252217.5,929712.0,1104384.0,2884531.5,5258384.5
