experiment,eligible,block,engine,mhz_after,p95_ms
e0,3000,0,gpu-rows,435,0.786289
e0,3000,1,gpu-rows,450,0.766229
e0,3000,2,gpu-rows,420,0.74441
e0,3000,3,gpu-rows,405,0.829099
e0,3000,4,gpu-rows,465,0.719129
e0,3000,5,gpu-rows,840,0.505519
e0,3000,6,gpu-rows,900,0.423769
e0,3000,7,gpu-rows,480,0.721519
e0,3000,8,gpu-rows,405,0.755729
e0,3000,9,gpu-rows,405,0.766139
e2,100,0,gpu-mask,2745,1.065979
e2,100,0,gpu-predicate,2745,1.085499
e2,100,0,gpu-rows,1395,0.20279
e2,100,1,gpu-mask,2745,1.073659
e2,100,1,gpu-predicate,2745,1.053538
e2,100,1,gpu-rows,1260,0.21141
e2,100,2,gpu-mask,2745,1.053139
e2,100,2,gpu-predicate,2745,1.049009
e2,100,2,gpu-rows,1335,0.20246
e2,100,3,gpu-mask,2745,1.036348
e2,100,3,gpu-predicate,2745,1.060798
e2,100,3,gpu-rows,1455,0.21035
e2,100,4,gpu-mask,2745,1.051518
e2,100,4,gpu-predicate,2745,1.042208
e2,100,4,gpu-rows,1440,0.209569
e2,1000,0,gpu-mask,2745,1.227888
e2,1000,0,gpu-predicate,2745,1.115578
e2,1000,0,gpu-rows,825,0.351079
e2,1000,1,gpu-mask,2745,1.094346
e2,1000,1,gpu-predicate,2745,1.067447
e2,1000,1,gpu-rows,795,0.326579
e2,1000,2,gpu-mask,2745,1.095447
e2,1000,2,gpu-predicate,2745,1.090687
e2,1000,2,gpu-rows,780,0.347168
e2,1000,3,gpu-mask,2745,1.115599
e2,1000,3,gpu-predicate,2745,1.134009
e2,1000,3,gpu-rows,690,0.375739
e2,1000,4,gpu-mask,2745,1.146678
e2,1000,4,gpu-predicate,2745,1.108928
e2,1000,4,gpu-rows,765,0.34474
e2,3000,0,gpu-mask,2745,1.335188
e2,3000,0,gpu-predicate,2745,1.263978
e2,3000,0,gpu-rows,495,0.751319
e2,3000,1,gpu-mask,2745,1.194799
e2,3000,1,gpu-predicate,2745,1.220248
e2,3000,1,gpu-rows,840,0.512389
e2,3000,2,gpu-mask,2745,1.264438
e2,3000,2,gpu-predicate,2745,1.265568
e2,3000,2,gpu-rows,765,0.46705
e2,3000,3,gpu-mask,2745,1.202168
e2,3000,3,gpu-predicate,2745,1.186288
e2,3000,3,gpu-rows,600,0.751059
e2,3000,4,gpu-mask,2745,1.269868
e2,3000,4,gpu-predicate,2745,1.312408
e2,3000,4,gpu-rows,735,0.483109
e2,10000,0,gpu-mask,2745,2.041797
e2,10000,0,gpu-predicate,2745,2.016596
e2,10000,0,gpu-rows,555,1.790818
e2,10000,1,gpu-mask,2745,1.880407
e2,10000,1,gpu-predicate,2745,2.066957
e2,10000,1,gpu-rows,720,1.194538
e2,10000,2,gpu-mask,2745,1.844027
e2,10000,2,gpu-predicate,2745,1.830558
e2,10000,2,gpu-rows,630,1.780127
e2,10000,3,gpu-mask,2745,1.880017
e2,10000,3,gpu-predicate,2745,2.021597
e2,10000,3,gpu-rows,450,1.900617
e2,10000,4,gpu-mask,2745,2.304477
e2,10000,4,gpu-predicate,2745,1.932877
e2,10000,4,gpu-rows,615,1.758547
e2,30000,0,gpu-mask,1515,5.089864
e2,30000,0,gpu-predicate,1215,4.811744
e2,30000,0,gpu-rows,480,4.634014
e2,30000,1,gpu-mask,2055,4.870544
e2,30000,1,gpu-predicate,1170,5.335853
e2,30000,1,gpu-rows,480,6.011082
e2,30000,2,gpu-mask,1470,4.663184
e2,30000,2,gpu-predicate,1260,4.685284
e2,30000,2,gpu-rows,645,4.705564
e2,30000,3,gpu-mask,1170,5.028693
e2,30000,3,gpu-predicate,2100,4.558634
e2,30000,3,gpu-rows,630,5.068263
e2,30000,4,gpu-mask,1200,4.588553
e2,30000,4,gpu-predicate,1305,4.696033
e2,30000,4,gpu-rows,615,4.883474
e2,100000,0,gpu-mask,2775,1.908628
e2,100000,0,gpu-predicate,2775,1.674328
e2,100000,0,gpu-rows,2775,2.704256
e2,100000,1,gpu-mask,2775,1.815538
e2,100000,1,gpu-predicate,2775,1.651298
e2,100000,1,gpu-rows,2775,2.581146
e2,100000,2,gpu-mask,2775,1.887377
e2,100000,2,gpu-predicate,2775,1.591628
e2,100000,2,gpu-rows,2775,2.662606
e2,100000,3,gpu-mask,2775,1.777629
e2,100000,3,gpu-predicate,2775,1.623318
e2,100000,3,gpu-rows,2775,2.916167
e2,100000,4,gpu-mask,2775,1.945888
e2,100000,4,gpu-predicate,2775,1.675779
e2,100000,4,gpu-rows,2775,2.929437
