eligible,query,set_agreement_at_10
1000,0,1.0
1000,1,1.0
1000,2,1.0
1000,3,1.0
1000,4,1.0
1000,5,1.0
1000,6,1.0
1000,7,1.0
1000,8,1.0
1000,9,1.0
1000,10,1.0
1000,11,1.0
1000,12,1.0
1000,13,1.0
1000,14,1.0
1000,15,1.0
1000,16,1.0
1000,17,1.0
1000,18,1.0
1000,19,1.0
1000,20,1.0
1000,21,1.0
1000,22,1.0
1000,23,1.0
1000,24,1.0
1000,25,1.0
1000,26,1.0
1000,27,1.0
1000,28,1.0
1000,29,1.0
1000,30,1.0
1000,31,1.0
1000,32,1.0
1000,33,1.0
1000,34,1.0
1000,35,1.0
1000,36,1.0
1000,37,1.0
1000,38,1.0
1000,39,1.0
1000,40,1.0
1000,41,1.0
1000,42,1.0
1000,43,1.0
1000,44,1.0
1000,45,1.0
1000,46,1.0
1000,47,1.0
1000,48,1.0
1000,49,1.0
1000,50,1.0
1000,51,1.0
1000,52,1.0
1000,53,1.0
1000,54,1.0
1000,55,1.0
1000,56,1.0
1000,57,1.0
1000,58,1.0
1000,59,1.0
1000,60,1.0
1000,61,1.0
1000,62,1.0
1000,63,1.0
1000,64,1.0
1000,65,1.0
1000,66,1.0
1000,67,1.0
1000,68,1.0
1000,69,1.0
1000,70,1.0
1000,71,1.0
1000,72,1.0
1000,73,1.0
1000,74,1.0
1000,75,1.0
1000,76,1.0
1000,77,1.0
1000,78,1.0
1000,79,1.0
1000,80,1.0
1000,81,1.0
1000,82,1.0
1000,83,1.0
1000,84,1.0
1000,85,1.0
1000,86,1.0
1000,87,1.0
1000,88,1.0
1000,89,1.0
1000,90,1.0
1000,91,1.0
1000,92,1.0
1000,93,1.0
1000,94,1.0
1000,95,1.0
1000,96,1.0
1000,97,1.0
1000,98,1.0
1000,99,1.0
10000,0,1.0
10000,1,1.0
10000,2,1.0
10000,3,1.0
10000,4,1.0
10000,5,1.0
10000,6,1.0
10000,7,1.0
10000,8,1.0
10000,9,1.0
10000,10,1.0
10000,11,1.0
10000,12,1.0
10000,13,1.0
10000,14,1.0
10000,15,1.0
10000,16,1.0
10000,17,1.0
10000,18,1.0
10000,19,1.0
10000,20,1.0
10000,21,1.0
10000,22,1.0
10000,23,1.0
10000,24,1.0
10000,25,1.0
10000,26,1.0
10000,27,1.0
10000,28,1.0
10000,29,1.0
10000,30,1.0
10000,31,1.0
10000,32,1.0
10000,33,1.0
10000,34,1.0
10000,35,1.0
10000,36,1.0
10000,37,1.0
10000,38,1.0
10000,39,1.0
10000,40,1.0
10000,41,1.0
10000,42,1.0
10000,43,1.0
10000,44,1.0
10000,45,1.0
10000,46,1.0
10000,47,1.0
10000,48,1.0
10000,49,1.0
10000,50,1.0
10000,51,1.0
10000,52,1.0
10000,53,1.0
10000,54,1.0
10000,55,1.0
10000,56,1.0
10000,57,1.0
10000,58,1.0
10000,59,1.0
10000,60,1.0
10000,61,1.0
10000,62,1.0
10000,63,1.0
10000,64,1.0
10000,65,1.0
10000,66,1.0
10000,67,1.0
10000,68,1.0
10000,69,1.0
10000,70,1.0
10000,71,1.0
10000,72,1.0
10000,73,1.0
10000,74,1.0
10000,75,1.0
10000,76,1.0
10000,77,1.0
10000,78,1.0
10000,79,1.0
10000,80,1.0
10000,81,1.0
10000,82,1.0
10000,83,1.0
10000,84,1.0
10000,85,1.0
10000,86,1.0
10000,87,1.0
10000,88,1.0
10000,89,1.0
10000,90,1.0
10000,91,1.0
10000,92,1.0
10000,93,1.0
10000,94,1.0
10000,95,1.0
10000,96,1.0
10000,97,1.0
10000,98,1.0
10000,99,1.0
100000,0,1.0
100000,1,1.0
100000,2,1.0
100000,3,1.0
100000,4,1.0
100000,5,1.0
100000,6,1.0
100000,7,1.0
100000,8,1.0
100000,9,1.0
100000,10,1.0
100000,11,1.0
100000,12,1.0
100000,13,1.0
100000,14,1.0
100000,15,1.0
100000,16,1.0
100000,17,1.0
100000,18,1.0
100000,19,1.0
100000,20,1.0
100000,21,1.0
100000,22,1.0
100000,23,1.0
100000,24,1.0
100000,25,1.0
100000,26,1.0
100000,27,1.0
100000,28,1.0
100000,29,1.0
100000,30,1.0
100000,31,1.0
100000,32,1.0
100000,33,1.0
100000,34,1.0
100000,35,1.0
100000,36,1.0
100000,37,1.0
100000,38,1.0
100000,39,1.0
100000,40,1.0
100000,41,1.0
100000,42,1.0
100000,43,1.0
100000,44,1.0
100000,45,1.0
100000,46,1.0
100000,47,1.0
100000,48,1.0
100000,49,1.0
100000,50,1.0
100000,51,1.0
100000,52,1.0
100000,53,1.0
100000,54,1.0
100000,55,1.0
100000,56,1.0
100000,57,1.0
100000,58,1.0
100000,59,1.0
100000,60,1.0
100000,61,1.0
100000,62,1.0
100000,63,1.0
100000,64,1.0
100000,65,1.0
100000,66,1.0
100000,67,1.0
100000,68,1.0
100000,69,1.0
100000,70,1.0
100000,71,1.0
100000,72,1.0
100000,73,1.0
100000,74,1.0
100000,75,1.0
100000,76,1.0
100000,77,1.0
100000,78,1.0
100000,79,1.0
100000,80,1.0
100000,81,1.0
100000,82,1.0
100000,83,1.0
100000,84,1.0
100000,85,1.0
100000,86,1.0
100000,87,1.0
100000,88,1.0
100000,89,1.0
100000,90,1.0
100000,91,1.0
100000,92,1.0
100000,93,1.0
100000,94,1.0
100000,95,1.0
100000,96,1.0
100000,97,1.0
100000,98,1.0
100000,99,1.0
1000000,0,1.0
1000000,1,1.0
1000000,2,1.0
1000000,3,1.0
1000000,4,1.0
1000000,5,1.0
1000000,6,1.0
1000000,7,1.0
1000000,8,1.0
1000000,9,1.0
1000000,10,1.0
1000000,11,1.0
1000000,12,1.0
1000000,13,1.0
1000000,14,1.0
1000000,15,1.0
1000000,16,1.0
1000000,17,1.0
1000000,18,1.0
1000000,19,1.0
1000000,20,1.0
1000000,21,1.0
1000000,22,1.0
1000000,23,1.0
1000000,24,1.0
1000000,25,1.0
1000000,26,1.0
1000000,27,1.0
1000000,28,1.0
1000000,29,1.0
1000000,30,1.0
1000000,31,1.0
1000000,32,1.0
1000000,33,1.0
1000000,34,1.0
1000000,35,1.0
1000000,36,1.0
1000000,37,1.0
1000000,38,1.0
1000000,39,1.0
1000000,40,1.0
1000000,41,1.0
1000000,42,1.0
1000000,43,1.0
1000000,44,1.0
1000000,45,1.0
1000000,46,1.0
1000000,47,1.0
1000000,48,1.0
1000000,49,1.0
1000000,50,1.0
1000000,51,1.0
1000000,52,1.0
1000000,53,1.0
1000000,54,1.0
1000000,55,1.0
1000000,56,1.0
1000000,57,1.0
1000000,58,1.0
1000000,59,1.0
1000000,60,1.0
1000000,61,1.0
1000000,62,1.0
1000000,63,1.0
1000000,64,1.0
1000000,65,1.0
1000000,66,1.0
1000000,67,1.0
1000000,68,1.0
1000000,69,1.0
1000000,70,1.0
1000000,71,1.0
1000000,72,1.0
1000000,73,1.0
1000000,74,1.0
1000000,75,1.0
1000000,76,1.0
1000000,77,1.0
1000000,78,1.0
1000000,79,1.0
1000000,80,1.0
1000000,81,1.0
1000000,82,1.0
1000000,83,1.0
1000000,84,1.0
1000000,85,1.0
1000000,86,1.0
1000000,87,1.0
1000000,88,1.0
1000000,89,1.0
1000000,90,1.0
1000000,91,1.0
1000000,92,1.0
1000000,93,1.0
1000000,94,1.0
1000000,95,1.0
1000000,96,1.0
1000000,97,1.0
1000000,98,1.0
1000000,99,1.0
