system,eligible,repetition,ordinal,query,latency_ns_e2e
qenlo_cuda_buffered_prototype,1000,0,0,35,104064
qenlo_cuda_buffered_prototype,1000,0,1,83,88978
qenlo_cuda_buffered_prototype,1000,0,2,63,92261
qenlo_cuda_buffered_prototype,1000,0,3,32,124877
qenlo_cuda_buffered_prototype,1000,0,4,96,87023
qenlo_cuda_buffered_prototype,1000,0,5,94,88001
qenlo_cuda_buffered_prototype,1000,0,6,19,87023
qenlo_cuda_buffered_prototype,1000,0,7,86,83321
qenlo_cuda_buffered_prototype,1000,0,8,43,87163
qenlo_cuda_buffered_prototype,1000,0,9,53,85137
qenlo_cuda_buffered_prototype,1000,0,10,0,86115
qenlo_cuda_buffered_prototype,1000,0,11,15,85137
qenlo_cuda_buffered_prototype,1000,0,12,11,83670
qenlo_cuda_buffered_prototype,1000,0,13,60,129137
qenlo_cuda_buffered_prototype,1000,0,14,37,96522
qenlo_cuda_buffered_prototype,1000,0,15,22,88978
qenlo_cuda_buffered_prototype,1000,0,16,51,84648
qenlo_cuda_buffered_prototype,1000,0,17,57,86045
qenlo_cuda_buffered_prototype,1000,0,18,78,82762
qenlo_cuda_buffered_prototype,1000,0,19,1,82832
qenlo_cuda_buffered_prototype,1000,0,20,9,91283
qenlo_cuda_buffered_prototype,1000,0,21,2,86533
qenlo_cuda_buffered_prototype,1000,0,22,16,86044
qenlo_cuda_buffered_prototype,1000,0,23,12,83321
qenlo_cuda_buffered_prototype,1000,0,24,85,130185
qenlo_cuda_buffered_prototype,1000,0,25,61,84787
qenlo_cuda_buffered_prototype,1000,0,26,72,86673
qenlo_cuda_buffered_prototype,1000,0,27,48,82832
qenlo_cuda_buffered_prototype,1000,0,28,92,84648
qenlo_cuda_buffered_prototype,1000,0,29,26,84787
qenlo_cuda_buffered_prototype,1000,0,30,24,83670
qenlo_cuda_buffered_prototype,1000,0,31,52,84159
qenlo_cuda_buffered_prototype,1000,0,32,30,83251
qenlo_cuda_buffered_prototype,1000,0,33,17,85206
qenlo_cuda_buffered_prototype,1000,0,34,64,84648
qenlo_cuda_buffered_prototype,1000,0,35,87,133887
qenlo_cuda_buffered_prototype,1000,0,36,91,84229
qenlo_cuda_buffered_prototype,1000,0,37,46,84648
qenlo_cuda_buffered_prototype,1000,0,38,40,84159
qenlo_cuda_buffered_prototype,1000,0,39,58,87023
qenlo_cuda_buffered_prototype,1000,0,40,55,84159
qenlo_cuda_buffered_prototype,1000,0,41,90,87022
qenlo_cuda_buffered_prototype,1000,0,42,71,83740
qenlo_cuda_buffered_prototype,1000,0,43,28,84718
qenlo_cuda_buffered_prototype,1000,0,44,41,83740
qenlo_cuda_buffered_prototype,1000,0,45,29,113492
qenlo_cuda_buffered_prototype,1000,0,46,75,87931
qenlo_cuda_buffered_prototype,1000,0,47,36,83670
qenlo_cuda_buffered_prototype,1000,0,48,42,85626
qenlo_cuda_buffered_prototype,1000,0,49,13,82762
qenlo_cuda_buffered_prototype,1000,0,50,25,82833
qenlo_cuda_buffered_prototype,1000,0,51,10,85626
qenlo_cuda_buffered_prototype,1000,0,52,47,83321
qenlo_cuda_buffered_prototype,1000,0,53,8,81435
qenlo_cuda_buffered_prototype,1000,0,54,27,92750
qenlo_cuda_buffered_prototype,1000,0,55,44,84788
qenlo_cuda_buffered_prototype,1000,0,56,89,115378
qenlo_cuda_buffered_prototype,1000,0,57,33,87930
qenlo_cuda_buffered_prototype,1000,0,58,49,85626
qenlo_cuda_buffered_prototype,1000,0,59,54,84648
qenlo_cuda_buffered_prototype,1000,0,60,98,88978
qenlo_cuda_buffered_prototype,1000,0,61,23,86603
qenlo_cuda_buffered_prototype,1000,0,62,31,84717
qenlo_cuda_buffered_prototype,1000,0,63,74,84648
qenlo_cuda_buffered_prototype,1000,0,64,99,85067
qenlo_cuda_buffered_prototype,1000,0,65,5,91353
qenlo_cuda_buffered_prototype,1000,0,66,76,78642
qenlo_cuda_buffered_prototype,1000,0,67,14,104483
qenlo_cuda_buffered_prototype,1000,0,68,95,76128
qenlo_cuda_buffered_prototype,1000,0,69,88,75708
qenlo_cuda_buffered_prototype,1000,0,70,50,76197
qenlo_cuda_buffered_prototype,1000,0,71,20,77594
qenlo_cuda_buffered_prototype,1000,0,72,77,75220
qenlo_cuda_buffered_prototype,1000,0,73,67,84787
qenlo_cuda_buffered_prototype,1000,0,74,66,78502
qenlo_cuda_buffered_prototype,1000,0,75,69,75638
qenlo_cuda_buffered_prototype,1000,0,76,79,77175
qenlo_cuda_buffered_prototype,1000,0,77,81,78641
qenlo_cuda_buffered_prototype,1000,0,78,6,74311
qenlo_cuda_buffered_prototype,1000,0,79,70,103575
qenlo_cuda_buffered_prototype,1000,0,80,73,78572
qenlo_cuda_buffered_prototype,1000,0,81,84,74800
qenlo_cuda_buffered_prototype,1000,0,82,93,77524
qenlo_cuda_buffered_prototype,1000,0,83,39,75219
qenlo_cuda_buffered_prototype,1000,0,84,45,76616
qenlo_cuda_buffered_prototype,1000,0,85,4,75638
qenlo_cuda_buffered_prototype,1000,0,86,80,75219
qenlo_cuda_buffered_prototype,1000,0,87,62,76617
qenlo_cuda_buffered_prototype,1000,0,88,18,78083
qenlo_cuda_buffered_prototype,1000,0,89,65,78502
qenlo_cuda_buffered_prototype,1000,0,90,3,78502
qenlo_cuda_buffered_prototype,1000,0,91,68,105531
qenlo_cuda_buffered_prototype,1000,0,92,56,76197
qenlo_cuda_buffered_prototype,1000,0,93,38,85556
qenlo_cuda_buffered_prototype,1000,0,94,7,78013
qenlo_cuda_buffered_prototype,1000,0,95,21,78921
qenlo_cuda_buffered_prototype,1000,0,96,59,77594
qenlo_cuda_buffered_prototype,1000,0,97,97,76127
qenlo_cuda_buffered_prototype,1000,0,98,34,83810
qenlo_cuda_buffered_prototype,1000,0,99,82,78991
faiss_gpu_flat_ip,1000,0,0,35,87092
faiss_gpu_flat_ip,1000,0,1,83,72426
faiss_gpu_flat_ip,1000,0,2,63,101829
faiss_gpu_flat_ip,1000,0,3,32,71448
faiss_gpu_flat_ip,1000,0,4,96,68096
faiss_gpu_flat_ip,1000,0,5,94,74242
faiss_gpu_flat_ip,1000,0,6,19,67188
faiss_gpu_flat_ip,1000,0,7,86,67188
faiss_gpu_flat_ip,1000,0,8,43,66279
faiss_gpu_flat_ip,1000,0,9,53,65302
faiss_gpu_flat_ip,1000,0,10,0,65791
faiss_gpu_flat_ip,1000,0,11,15,65302
faiss_gpu_flat_ip,1000,0,12,11,69562
faiss_gpu_flat_ip,1000,0,13,60,66210
faiss_gpu_flat_ip,1000,0,14,37,66210
faiss_gpu_flat_ip,1000,0,15,22,65790
faiss_gpu_flat_ip,1000,0,16,51,70121
faiss_gpu_flat_ip,1000,0,17,57,72425
faiss_gpu_flat_ip,1000,0,18,78,66210
faiss_gpu_flat_ip,1000,0,19,1,70120
faiss_gpu_flat_ip,1000,0,20,9,67188
faiss_gpu_flat_ip,1000,0,21,2,66699
faiss_gpu_flat_ip,1000,0,22,16,65302
faiss_gpu_flat_ip,1000,0,23,12,65302
faiss_gpu_flat_ip,1000,0,24,85,66279
faiss_gpu_flat_ip,1000,0,25,61,66210
faiss_gpu_flat_ip,1000,0,26,72,64324
faiss_gpu_flat_ip,1000,0,27,48,65790
faiss_gpu_flat_ip,1000,0,28,92,64883
faiss_gpu_flat_ip,1000,0,29,26,66209
faiss_gpu_flat_ip,1000,0,30,24,87511
faiss_gpu_flat_ip,1000,0,31,52,74800
faiss_gpu_flat_ip,1000,0,32,30,67117
faiss_gpu_flat_ip,1000,0,33,17,66280
faiss_gpu_flat_ip,1000,0,34,64,65721
faiss_gpu_flat_ip,1000,0,35,87,66279
faiss_gpu_flat_ip,1000,0,36,91,67187
faiss_gpu_flat_ip,1000,0,37,46,65791
faiss_gpu_flat_ip,1000,0,38,40,68025
