system,eligible,repetition,ordinal,query,latency_ns_e2e
qenlo_cuda_buffered_prototype,1000,0,0,49,95054
qenlo_cuda_buffered_prototype,1000,0,1,99,78502
qenlo_cuda_buffered_prototype,1000,0,2,6,80806
qenlo_cuda_buffered_prototype,1000,0,3,38,75149
qenlo_cuda_buffered_prototype,1000,0,4,50,73822
qenlo_cuda_buffered_prototype,1000,0,5,67,74311
qenlo_cuda_buffered_prototype,1000,0,6,96,75708
qenlo_cuda_buffered_prototype,1000,0,7,23,79060
qenlo_cuda_buffered_prototype,1000,0,8,75,72845
qenlo_cuda_buffered_prototype,1000,0,9,0,89886
qenlo_cuda_buffered_prototype,1000,0,10,69,75220
qenlo_cuda_buffered_prototype,1000,0,11,8,74311
qenlo_cuda_buffered_prototype,1000,0,12,28,76197
qenlo_cuda_buffered_prototype,1000,0,13,87,73752
qenlo_cuda_buffered_prototype,1000,0,14,74,76197
qenlo_cuda_buffered_prototype,1000,0,15,60,73334
qenlo_cuda_buffered_prototype,1000,0,16,25,73334
qenlo_cuda_buffered_prototype,1000,0,17,37,71378
qenlo_cuda_buffered_prototype,1000,0,18,46,75638
qenlo_cuda_buffered_prototype,1000,0,19,81,76198
qenlo_cuda_buffered_prototype,1000,0,20,97,72915
qenlo_cuda_buffered_prototype,1000,0,21,57,88001
qenlo_cuda_buffered_prototype,1000,0,22,42,78153
qenlo_cuda_buffered_prototype,1000,0,23,83,71937
qenlo_cuda_buffered_prototype,1000,0,24,62,73334
qenlo_cuda_buffered_prototype,1000,0,25,58,73334
qenlo_cuda_buffered_prototype,1000,0,26,56,74800
qenlo_cuda_buffered_prototype,1000,0,27,40,72915
qenlo_cuda_buffered_prototype,1000,0,28,9,73823
qenlo_cuda_buffered_prototype,1000,0,29,29,74731
qenlo_cuda_buffered_prototype,1000,0,30,55,73334
qenlo_cuda_buffered_prototype,1000,0,31,89,75708
qenlo_cuda_buffered_prototype,1000,0,32,78,74311
qenlo_cuda_buffered_prototype,1000,0,33,32,73333
qenlo_cuda_buffered_prototype,1000,0,34,94,96102
