id,user_id,timestamp_micros
0,0,-49276
1,96,46143
2,3,-46606
3,13,-36578
4,7,-42636
5,23,-26251
6,9,-40496
7,12,-37852
8,45,-4692
9,48,-1253
10,23,-26422
11,54,4641
12,0,-49130
13,79,29781
14,55,5450
15,36,-13980
16,42,-7110
17,90,40037
18,10,-39110
19,73,23424
20,57,7992
21,40,-9223
22,2,-47174
23,72,22454
24,56,6286
25,93,43171
26,14,-35188
27,83,33382
28,31,-18014
29,91,41379
30,30,-19884
31,62,12637
32,20,-29416
33,60,10973
34,7,-42678
35,19,-30127
36,63,13418
37,83,33046
38,86,36828
39,78,28493
40,63,13498
41,97,47463
42,20,-29598
43,79,29369
44,22,-27100
45,88,38532
46,27,-22928
47,72,22517
48,66,16702
49,53,3124
50,8,-41314
51,83,33209
52,63,13198
53,54,4675
54,41,-8092
55,91,41209
56,18,-31436
57,76,26195
58,75,25834
59,4,-45188
60,0,-49428
61,64,14277
62,44,-5642
63,62,12264
64,18,-31036
65,51,1437
66,38,-11598
67,72,22756
68,16,-33346
69,77,27805
70,23,-26746
71,35,-14758
72,92,42158
73,73,23201
74,39,-10578
75,75,25513
76,38,-11194
77,85,35241
78,38,-11794
79,81,31430
80,0,-49959
81,64,14351
82,42,-7624
83,20,-29754
84,25,-24856
85,92,42098
86,47,-2298
87,2,-47515
88,8,-41028
89,63,13672
90,1,-48598
91,56,6821
92,79,29358
93,13,-36600
94,9,-40290
95,43,-6442
96,96,46876
97,71,21926
98,73,23440
99,93,43021
100,29,-20486
101,47,-2115
102,1,-48044
103,94,44236
104,0,-49866
105,90,40039
106,4,-45646
107,51,1052
108,4,-45516
109,92,42466
110,14,-35364
111,95,45373
112,72,22038
113,76,26826
114,5,-44536
115,1,-48867
116,33,-16992
117,80,30699
118,2,-47910
119,47,-2662
120,0,-49858
121,93,43841
122,72,22190
123,92,42956
124,0,-49754
125,31,-18334
126,6,-43658
127,87,37554
128,90,40524
129,15,-34465
130,33,-16882
131,73,23093
132,70,20642
133,9,-40789
134,59,9350
135,41,-8844
136,2,-47062
137,79,29936
138,14,-35200
139,33,-16939
140,1,-48956
141,23,-26847
142,35,-14450
143,51,1733
144,85,35726
145,96,46015
146,7,-42508
147,7,-42952
148,2,-47830
149,45,-4991
150,74,24902
151,79,29869
152,58,8056
153,97,47036
154,70,20622
155,94,44594
156,14,-35194
157,97,47089
158,4,-45672
159,30,-19350
160,4,-45872
161,71,21383
162,31,-18658
163,30,-19527
164,2,-47034
165,89,39243
166,10,-39944
167,2,-47156
168,2,-47628
169,73,23623
170,5,-44478
171,48,-1778
172,84,34684
173,60,10027
174,65,15876
175,57,7194
176,17,-32542
177,92,42987
178,42,-7750
179,13,-36039
180,2,-47432
181,95,45589
182,14,-35486
183,56,6385
184,39,-10780
185,87,37659
186,2,-47724
187,42,-7398
188,93,43854
189,48,-1501
190,56,6838
191,58,8124
192,72,22806
193,43,-6491
194,25,-24560
195,84,34370
196,22,-27928
197,33,-16904
198,1,-48508
199,66,16597
200,40,-9560
201,94,44281
202,8,-41956
203,11,-38175
204,27,-22454
205,84,34897
206,19,-30060
207,14,-35904
208,68,18188
209,74,24350
210,6,-43456
211,54,4541
212,19,-30114
213,28,-21669
214,0,-49850
215,45,-4919
216,1,-48032
217,98,48983
218,37,-12274
219,61,11829
220,34,-15098
221,63,13323
222,22,-27410
223,6,-43407
224,55,5256
225,78,28947
226,3,-46320
227,20,-29534
228,70,20536
229,76,26817
230,11,-38302
231,46,-3250
232,59,9204
233,48,-1241
234,1,-48462
235,71,21521
236,2,-47614
237,53,3587
238,10,-39170
239,4,-45036
240,55,5246
241,94,44017
242,26,-23754
243,36,-13091
244,7,-42488
245,62,12283
246,98,48594
247,26,-23063
248,78,28192
249,84,34663
250,9,-40986
251,43,-6418
252,45,-4606
253,99,49675
254,21,-28902
255,96,46549
256,0,-49594
257,96,46177
258,0,-49378
259,1,-48023
260,2,-47318
261,31,-18651
262,78,28582
263,50,481
264,48,-1048
265,98,48775
266,30,-19734
267,6,-43312
268,35,-14424
269,43,-6791
270,82,32460
271,37,-12884
272,52,2550
273,69,19705
