split,query_index,ids
tuning,0,30758;87064;35572;32020;3306;28946;1080;19767;11828;3136
tuning,1,36172;46300;5992;18364;7898;88676;23790;90013;8136;3646
tuning,2,33556;2026;20694;22568;7150;88676;71694;14686;65370;724
tuning,3,28948;81382;80840;49056;35572;69794;48216;21162;84340;88670
tuning,4,20830;358;51568;91242;87336;3476;91040;29250;19914;53237
tuning,5,18726;92670;23790;18364;31850;83264;37282;38928;5484;94242
tuning,6,1330;2994;496;13514;54194;7150;41162;80668;6778;12854
tuning,7,56370;94560;2774;54258;57048;20814;46516;78928;4688;96854
tuning,8,77080;87388;34814;58776;75834;49128;77510;61746;95758;23626
tuning,9,69662;724;10310;2026;14770;25296;64354;23790;12316;2538
tuning,10,99020;99564;91580;50070;70131;90410;70214;28900;56028;56930
tuning,11,34536;10310;51568;46300;724;38887;35832;83194;94954;23082
tuning,12,20488;48244;60388;29116;10174;83854;49003;50588;39192;61408
tuning,13,41092;28376;33556;88676;48198;910;27662;74050;41162;31456
tuning,14,65244;64834;3042;82992;61408;30758;5296;2836;2078;1756
tuning,15,64522;22872;49162;23859;16114;798;26350;49302;8676;11528
tuning,16,54194;96912;80668;10174;92321;59667;7150;72190;48244;496
tuning,17,910;94242;77368;522;1080;31456;59667;4996;1382;2344
tuning,18,21320;72456;71646;8506;1424;1442;78590;93546;87902;27572
tuning,19,52764;33556;13958;36030;55150;1386;13712;13718;25296;46142
tuning,20,26528;59280;16215;21090;8604;54812;77368;1083;1084;98166
tuning,21,21320;28376;540;72456;21162;1424;1442;83956;27572;82700
tuning,22,88676;35124;14992;13880;98636;41092;18726;37282;2538;31850
tuning,23,26528;16215;8604;59280;63404;98166;21090;17864;54482;98476
tuning,24,98636;76628;67336;94034;65160;80434;3264;1382;41092;39760
tuning,25,77306;51154;73268;82992;26156;76672;15970;46232;75464;76644
tuning,26,35572;32020;30758;11828;19767;87064;3136;84162;3306;51448
tuning,27,1080;2344;574;62213;522;27626;96944;32554;77368;82906
tuning,28,30758;32020;35572;87064;3136;84162;3306;19767;51448;11828
tuning,29,40971;40310;30904;24458;2604;3032;30874;64750;24728;39192
tuning,30,26970;71330;16116;25442;27818;28190;1644;4894;2989;73730
tuning,31,82659;5484;96414;5256;96444;49774;23612;5086;99060;27658
tuning,32,69510;44442;16850;7914;68932;55806;52266;19990;43392;41450
tuning,33,25442;26970;19828;16080;67048;31622;57048;23112;27258;93094
tuning,34,44702;732;6134;50040;2814;49252;33016;56460;29154;11772
tuning,35,96238;5992;10760;11758;214;4712;23638;78936;18590;1644
tuning,36,76818;11220;12224;21547;75086;34476;2062;34628;5074;39488
tuning,37,41060;10316;43918;8760;24690;58370;1200;15884;20848;29250
tuning,38,95414;25168;64484;54964;16381;11396;17048;87540;18768;45412
tuning,39,2068;98102;99476;65880;22784;2967;75834;90534;19510;7290
tuning,40,340;376;63880;30186;69619;87728;17326;398;80112;19510
tuning,41,98080;104;86510;76996;77252;102;78728;3114;120;21260
tuning,42,85584;17326;45174;32719;87728;40714;59512;85539;49788;71904
tuning,43,2967;38016;61616;98210;58718;3662;18872;95980;442;77080
tuning,44,20952;22476;15200;85676;86026;12854;27412;71904;50512;20034
tuning,45,26970;3154;5730;9392;25442;70954;5100;95344;17326;14962
tuning,46,97806;23702;57876;2474;8451;6824;2248;90410;20470;98690
tuning,47,1756;94954;10586;75118;64834;8451;10708;13868;72190;3256
tuning,48,79358;79646;70131;38920;21694;50070;72190;90410;26818;13668
tuning,49,56930;70214;37636;48154;26818;49120;764;21694;71495;65393
tuning,50,10276;39102;39406;33270;80286;57410;26052;15282;25170;39854
tuning,51,94748;4539;59964;10646;89932;42062;39418;62322;98376;632
tuning,52,78164;22494;90476;17368;83552;98194;18706;89232;56786;76764
tuning,53,9762;6152;2078;22816;23558;2836;6224;82992;6244;1756
tuning,54,98636;90256;71934;94034;6006;48400;88460;3264;80668;47926
tuning,55,87902;78590;8506;46412;71646;32112;21090;1424;1442;2474
tuning,56,60388;19274;41010;47926;59134;6008;18240;42148;63336;20666
tuning,57,6134;44702;33016;56460;98853;50040;29154;2814;732;11772
