split,query_index,ids
tuning,0,52
tuning,1,21
tuning,2,29
tuning,3,59
tuning,4,55
tuning,5,104
tuning,6,75
tuning,7,23
evaluation,0,40
evaluation,1,82
evaluation,2,33
evaluation,3,62
evaluation,4,79
evaluation,5,95
evaluation,6,70
evaluation,7,103
evaluation,8,64
evaluation,9,59
evaluation,10,58
evaluation,11,114
evaluation,12,113
evaluation,13,19
evaluation,14,9
evaluation,15,94
evaluation,16,22
evaluation,17,117
evaluation,18,75
evaluation,19,47
evaluation,20,120
evaluation,21,71
evaluation,22,93
evaluation,23,14
evaluation,24,42
evaluation,25,6
evaluation,26,94
evaluation,27,5
evaluation,28,105
evaluation,29,83
evaluation,30,72
evaluation,31,17
evaluation,32,80
evaluation,33,59
evaluation,34,77
evaluation,35,65
evaluation,36,18
evaluation,37,28
evaluation,38,74
evaluation,39,94
evaluation,40,126
evaluation,41,60
evaluation,42,34
evaluation,43,82
evaluation,44,97
evaluation,45,30
evaluation,46,57
evaluation,47,91
evaluation,48,97
evaluation,49,60
evaluation,50,123
evaluation,51,57
evaluation,52,39
evaluation,53,89
evaluation,54,47
evaluation,55,27
evaluation,56,67
evaluation,57,19
evaluation,58,75
evaluation,59,46
evaluation,60,49
evaluation,61,13
evaluation,62,60
evaluation,63,10
