configuration,gpu,data_center,cloud,campaign_mode,workload,engine,source_bundle_sha256,git_revision,rows,dimensions,batch,k,eligible_fraction,timing_scope,filter_scope,p50_completed_ns,p95_completed_ns,p99_completed_ns,p95_min_ns,p95_max_ns,throughput_qps,recall_at_k,collection_build_ns,binary_build_ns,peak_process_rss_bytes,qenlo_allocation_bytes,upload_bytes_per_call,readback_bytes_per_call,device_resident_ns,sample_count,qualified,status
rtx2000-eu-ro-secure-pilot,NVIDIA RTX 2000 Ada Generation,EU-RO-1,SECURE,pilot,p1-r1000-d128-b1-f1,baseline-cpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,51832.0,60152.0,67382.0,56952.0,64022.0,14562.469467166067,1.0,3974026,159623687382,5939200,,0.0,0.0,,192,True,completed
rtx2000-eu-ro-secure-pilot,NVIDIA RTX 2000 Ada Generation,EU-RO-1,SECURE,pilot,p1-r1000-d128-b1-f1,baseline-gpu,f37e744c7ee4054a74c4b4181f2dde61dade4d677bbc5493b9a36b61d165a45d,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,142865.0,151475.0,165075.0,151364.0,152334.0,6281.770175352669,1.0,232321028,159623687382,250503168,1587200.0,4576.0,160.0,,192,True,completed
rtx2000-eu-ro-secure-pilot,NVIDIA RTX 2000 Ada Generation,EU-RO-1,SECURE,pilot,p1-r1000-d128-b1-f1,current-gpu,730c050065e6786972a7be4f9bcb619168becdc943ce1122d1583c61f66409e3,unavailable,1000,128,1,10,1.0,batch-call-completion,corpus,162215.0,194986.0,207147.0,167856.0,205486.0,5546.42033165167,1.0,220117214,163934718074,255676416,2112128.0,4576.0,192.0,,192,True,completed
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eu-ro-secure,NVIDIA L4,EU-RO-1,SECURE,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c1-r1000-d128-b1-f1,current-gpu,,,1000,128,1,10,1.0,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c2-r1000-d384-b16-f001,current-gpu,,,1000,384,16,10,0.01,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c3-r10000-d128-b16-f1,current-gpu,,,10000,128,16,10,1.0,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c4-r10000-d384-b1-f001,current-gpu,,,10000,384,1,10,0.01,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c5-r100000-d128-b1-f001,current-gpu,,,100000,128,1,10,0.01,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
l4-eur-is-secure,NVIDIA L4,EUR-IS-1,SECURE,common,c6-r100000-d384-b16-f1,current-gpu,,,100000,384,16,10,1.0,,,,,,,,,,,,,,,,,0,False,failed_or_unavailable
